workerid,proliferate.condition,correct,cumrt,distractors,internal_node_id,item,order,response,rt,sentence,stimulus,time_elapsed,trial_index,trial_type,type,words,error
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[508, 632, 1047, 616, 536, 576, 760, 544, 463, 608, 913, 592, 582, 1713, 825, 823]","['x-x-x', 'seen', 'weekend', 'tree', 'firms', 'bit', 'suck', 'fair', 'may', 'alone', 'forth', 'walk', 'code', 'won', 'ranked', 'union.']",0.0-6.0-0.2,32,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",,"[508, 632, 1047, 616, 536, 576, 760, 544, 463, 608, 913, 592, 582, 1713, 825, 823]",The man decided to paint the door with the large crack and do the window later.,,117610,10,maze,NP,"['The', 'man', 'decided', 'to', 'paint', 'the', 'door', 'with', 'the', 'large', 'crack', 'and', 'do', 'the', 'window', 'later.']",
941,i,,,,0.0-7.0,,,,,,,118612,11,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1640, 1272, 697, 718, 745, 592, 976, 992, 752, 1656, 576, 624, 705, 455, 720, 528, 632]","['x-x-x', 'bloodshed', 'nice', 'streets', 'award', 'eyes', 'produces', 'patience', 'lose', 'repay.', 'x-x-x', 'move', 'park', 'link', 'ladder', 'bet', 'ages.']",0.0-8.0-0.0,12,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",,"[1640, 1272, 697, 718, 745, 592, 976, 992, 752, 1656, 576, 624, 705, 455, 720, 528, 632]",A caretaker was walking along a corridor carrying some nails. He’d been told to repair a door.,,132899,12,maze,setup,"['A', 'caretaker', 'was', 'walking', 'along', 'a', 'corridor', 'carrying', 'some', 'nails.', 'He’d', 'been', 'told', 'to', 'repair', 'a', 'door.']",
941,i,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[555, 432, 1094, 1023, 578, 824, 519, 648, 568, 440, 568, 512, 560, 784, 662, 673, 616, 776]","['x-x-x', 'lady', 'week', 'dies', 'wants', 'sick', 'card', 'knows', 'foods', 'lots', 'trip', 'sex', 'rule', 'talks', 'spend', 'daughter', 'ages', 'catholic.']",0.0-8.0-0.1,12,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]",,"[555, 432, 488, 1023, 578, 824, 519, 648, 568, 440, 568, 512, 560, 784, 662, 673, 616, 776]",He saw a door which had a large crack in it and a locker which wouldn't shut properly.,,144739,13,maze,1-context,"['He', 'saw', 'a', 'door', 'which', 'had', 'a', 'large', 'crack', 'in', 'it', 'and', 'a', 'locker', 'which', ""wouldn't"", 'shut', 'properly.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[556, 927, 592, 544, 407, 641, 616, 1152, 736, 1121, 599, 584, 2360, 568]","['x-x-x', 'rescinded', 'infinity', 'sell', 'none', 'want', 'than', 'ought', 'yes', 'mean', 'fact', 'seem', 'ages', 'weird.']",0.0-8.0-0.2,12,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",,"[556, 927, 592, 544, 407, 641, 616, 1152, 736, 1121, 599, 584, 2360, 568]",The caretaker repaired the door with the crack and then took a tea break.,,156146,14,maze,NP,"['The', 'caretaker', 'repaired', 'the', 'door', 'with', 'the', 'crack', 'and', 'then', 'took', 'a', 'tea', 'break.']",
941,i,,,,0.0-9.0,,,,,,,157148,15,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[607, 1090, 648, 960, 608, 736, 831, 801, 744, 1120, 1672, 616, 680, 712, 575, 952, 592, 1056]","['x-x-x', 'costs', 'heat', 'account', 'message', 'gone', 'colonel', 'march', 'edition', 'need', 'basemen', 'ours.', 'x-x-x', 'stupid', 'kill', 'bureau', 'read', 'pros.']",0.0-10.0-0.0,27,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]",,"[607, 1090, 648, 960, 608, 736, 831, 801, 744, 1120, 1672, 616, 680, 712, 575, 952, 592, 1056]",A woman was looking through some clothes while holding some darning wool. She needed to repair a sock.,,172155,16,maze,setup,"['A', 'woman', 'was', 'looking', 'through', 'some', 'clothes', 'while', 'holding', 'some', 'darning', 'wool.', 'She', 'needed', 'to', 'repair', 'a', 'sock.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[442, 897, 632, 615, 609, 552, 592, 584, 1056, 600, 752, 576, 472, 479, 416, 593, 448, 976, 568, 552, 800, 632, 744, 752]","['x-x-x', 'worse', 'unit', 'kill', 'eats', 'pull', 'outcome', 'try', 'tabs', 'basis', 'west', 'camp', 'vary', 'love', 'drug', 'note', 'tax', 'breeds', 'coast', 'tour', 'weekend', 'site', 'via', 'maps.']",0.0-10.0-0.1,27,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",,"[442, 897, 632, 615, 609, 552, 592, 584, 1056, 600, 752, 576, 472, 479, 416, 593, 448, 976, 568, 552, 800, 632, 744, 752]",She found in the pile of clothes a sock which had a hole in it and a jumper which was getting a bit thin.,,187500,17,maze,1-context,"['She', 'found', 'in', 'the', 'pile', 'of', 'clothes', 'a', 'sock', 'which', 'had', 'a', 'hole', 'in', 'it', 'and', 'a', 'jumper', 'which', 'was', 'getting', 'a', 'bit', 'thin.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[555, 439, 809, 689, 583, 577, 431, 481, 678, 1281, 496, 496, 623, 480, 496]","['x-x-x', 'apart', 'motorway', 'try', 'vivo', 'easy', 'west', 'amid', 'meet', 'pope', 'tour', 'exists', 'fun', 'ran', 'follows.']",0.0-10.0-0.2,27,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",,"[555, 439, 809, 689, 583, 577, 431, 481, 678, 1281, 496, 496, 623, 480, 496]",The woman repaired the sock with the wool but hurt her finger in the process.,,196618,18,maze,VP,"['The', 'woman', 'repaired', 'the', 'sock', 'with', 'the', 'wool', 'but', 'hurt', 'her', 'finger', 'in', 'the', 'process.']",
941,i,,,,0.0-11.0,,,,,,,197620,19,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[898, 1144, 1192, 976, 918, 618, 800, 585, 624, 1231, 832, 592, 712, 665, 752, 608, 520]","['x-x-x', 'pots', 'gold', 'took', 'thus', 'method', 'tons', 'teachers', 'rate', 'reap', 'earn.', 'x-x-x', 'door', 'foot', 'echinoderms', 'cup', 'sits.']",0.0-12.0-0.0,19,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]",,"[898, 1144, 1192, 976, 918, 618, 800, 585, 624, 1231, 832, 592, 712, 665, 752, 608, 520]",A vet went into an animal cage carrying a dart gun. He had to tranquilise a lion.,,211291,20,maze,setup,"['A', 'vet', 'went', 'into', 'an', 'animal', 'cage', 'carrying', 'a', 'dart', 'gun.', 'He', 'had', 'to', 'tranquilise', 'a', 'lion.']",
941,i,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[659, 948, 786, 704, 480, 688, 496, 520, 728, 471, 1097, 576, 816, 448, 657, 455, 672, 592, 679, 449, 600, 1032]","['x-x-x', 'girl', 'warn', 'guess', 'fan', 'die', 'aids', 'same', 'cash', 'job', 'gets', 'alma', 'holy', 'tax', 'sans', 'poor', 'income', 'rich', 'list', 'plat', 'drug', 'met.']",0.0-12.0-0.1,19,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]",,"[659, 416, 786, 704, 480, 688, 496, 520, 728, 471, 1097, 576, 816, 448, 657, 455, 672, 592, 679, 449, 600, 1032]",Inside the cage there was a lion that had a big mane and a lion that didn't have any mane at all.,,225851,21,maze,2-context,"['Inside', 'the', 'cage', 'there', 'was', 'a', 'lion', 'that', 'had', 'a', 'big', 'mane', 'and', 'a', 'lion', 'that', ""didn't"", 'have', 'any', 'mane', 'at', 'all.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[484, 632, 1102, 457, 512, 488, 552, 672, 503, 537, 503, 600, 488]","['x-x-x', 'slid', 'minesweeping', 'loss', 'ours', 'same', 'add', 'quo', 'hoc', 'year', 'term', 'premiums', 'gone.']",0.0-12.0-0.2,19,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",,"[484, 632, 1102, 457, 512, 488, 552, 672, 503, 537, 503, 600, 488]",The vet tranquilised the lion with the big mane and then examined it.,,233387,22,maze,NP,"['The', 'vet', 'tranquilised', 'the', 'lion', 'with', 'the', 'big', 'mane', 'and', 'then', 'examined', 'it.']",
941,i,,,,0.0-13.0,,,,,,,234389,23,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[552, 1367, 760, 494, 634, 448, 720, 592, 624, 503, 656, 865, 455, 672, 544, 776, 767, 673]","['x-x-x', 'mergers', 'aspects', 'nice', 'glad', 'adds', 'medicinal', 'know', 'kings.', 'x-x-x', 'lot', 'memories', 'lose', 'except', 'guy', 'denote', 'ones', 'celebrate.']",0.0-14.0-0.0,3,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",,"[552, 1367, 760, 494, 634, 448, 720, 592, 624, 503, 656, 865, 455, 672, 544, 776, 767, 673]",A convict escaped from his cell clutching a knife. He was prepared to attack a warden if necessary.,,246498,24,maze,setup,"['A', 'convict', 'escaped', 'from', 'his', 'cell', 'clutching', 'a', 'knife.', 'He', 'was', 'prepared', 'to', 'attack', 'a', 'warden', 'if', 'necessary.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[669, 517, 680, 563, 408, 967, 592, 448, 998, 417, 904, 408, 672, 574, 696, 2039, 1832, 1153]","['x-x-x', 'profile', 'dad', 'pre', 'am', 'waived', 'sources', 'oh', 'hates', 'us', 'owns', 'year', 'mean', 'optimism', 'eastern', 'vs', 'laws', 'canonized.']",0.0-14.0-0.1,3,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0]",,"[669, 517, 680, 563, 408, 967, 592, 448, 998, 417, 904, 408, 672, 574, 696, 401, 1832, 1153]",Once outside he saw a warden holding a bunch of keys and a warden holding a long truncheon.,,261043,25,maze,2-context,"['Once', 'outside', 'he', 'saw', 'a', 'warden', 'holding', 'a', 'bunch', 'of', 'keys', 'and', 'a', 'warden', 'holding', 'a', 'long', 'truncheon.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[572, 608, 905, 703, 440, 637, 603, 536, 512, 752, 600, 744, 592]","['x-x-x', 'waivers', 'vacation', 'amicus', 'fund', 'done', 'loaned', 'miss', 'ago', 'meets', 'wonder', 'website', 'app.']",0.0-14.0-0.2,3,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",,"[572, 608, 905, 703, 440, 637, 603, 536, 512, 752, 600, 744, 592]",The convict suddenly lunged at the warden with the keys before running off.,,269251,26,maze,NP,"['The', 'convict', 'suddenly', 'lunged', 'at', 'the', 'warden', 'with', 'the', 'keys', 'before', 'running', 'off.']",
941,i,,,,0.0-15.0,,,,,,,270254,27,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[503, 600, 896, 720, 784, 456, 680, 576, 1032, 479, 840, 1424, 448, 464, 1272, 424, 472, 672, 528, 424, 463]","['x-x-x', 'videos', 'rid', 'loss', 'reasons', 'plan', 'done', 'assets', 'thrones', 'lost', 'maps', 'truth.', 'x-x-x', 'seat', 'temper', 'spot', 'cape', 'republic', 'doors', 'site', 'voices.']",0.0-16.0-0.0,28,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",,"[503, 600, 896, 720, 784, 456, 680, 576, 1032, 479, 840, 1424, 448, 464, 1272, 424, 472, 672, 528, 424, 463]",A little boy was playing in a garden kicking a ball about. He was warned that he’d probably break a window.,,284419,28,maze,setup,"['A', 'little', 'boy', 'was', 'playing', 'in', 'a', 'garden', 'kicking', 'a', 'ball', 'about.', 'He', 'was', 'warned', 'that', 'he’d', 'probably', 'break', 'a', 'window.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[611, 768, 721, 576, 480, 512, 576, 552, 440, 512, 616, 416, 582, 649, 619, 669, 801, 615, 760]","['x-x-x', 'huge', 'cast', 'slow', 'pull', 'phones', 'lives', 'ice', 'job', 'firms', 'cars', 'find', 'sex', 'law', 'behalf', 'wife', 'notice', 'song', 'pay.']",0.0-16.0-0.1,28,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",,"[611, 768, 721, 576, 480, 512, 576, 552, 440, 512, 616, 416, 582, 649, 619, 669, 801, 615, 760]",Close to him was a window which had a crack in it and a window that looked very old.,,295899,29,maze,2-context,"['Close', 'to', 'him', 'was', 'a', 'window', 'which', 'had', 'a', 'crack', 'in', 'it', 'and', 'a', 'window', 'that', 'looked', 'very', 'old.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[516, 568, 703, 1498, 440, 543, 545, 640, 648, 614, 506, 760, 584, 528]","['x-x-x', 'gone', 'huge', 'significance', 'miles', 'did', 'behalf', 'join', 'role', 'occur', 'sex', 'wars', 'size', 'decade.']",0.0-16.0-0.2,28,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",,"[516, 568, 703, 1498, 440, 543, 545, 640, 648, 614, 506, 760, 584, 528]",The boy did accidentally break the window with the crack and ran home crying.,,304995,30,maze,NP,"['The', 'boy', 'did', 'accidentally', 'break', 'the', 'window', 'with', 'the', 'crack', 'and', 'ran', 'home', 'crying.']",
941,i,,,,0.0-17.0,,,,,,,305997,31,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[753, 934, 417, 696, 423, 664, 584, 616, 625, 1296, 864, 520, 520, 623, 392, 961, 416, 520]","['x-x-x', 'nets', 'loss', 'dollars', 'say', 'ran', 'applies', 'why', 'won', 'held', 'equip.', 'x-x-x', 'spot', 'nightmare', 'wall', 'skin', 'boy', 'fees.']",0.0-18.0-0.0,29,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",,"[753, 934, 417, 696, 423, 664, 584, 616, 625, 1296, 864, 520, 520, 623, 392, 961, 416, 520]",A chef was working in his kitchen by a food mixer. He was preparing to make a cake.,,317827,32,maze,setup,"['A', 'chef', 'was', 'working', 'in', 'his', 'kitchen', 'by', 'a', 'food', 'mixer.', 'He', 'was', 'preparing', 'to', 'make', 'a', 'cake.']",
941,i,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[539, 1389, 609, 384, 496, 472, 616, 431, 425, 744, 432, 384, 1033, 591, 656, 1359, 560, 664, 648, 536, 585]","['x-x-x', 'wall', 'took', 'kept', 'reached', 'son', 'basis', 'rose', 'size', 'null', 'win', 'cops', 'conclusion', 'audit', 'tweet', 'role', 'west', 'rely', 'impose', 'sort', 'est.']",0.0-18.0-0.1,29,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",,"[539, 520, 609, 384, 496, 472, 616, 431, 425, 744, 432, 384, 1033, 591, 656, 505, 560, 664, 648, 536, 585]",Somebody came into the kitchen and asked him to bake a cake containing dried fruit and a cake topped with jam.,,331388,33,maze,2-context,"['Somebody', 'came', 'into', 'the', 'kitchen', 'and', 'asked', 'him', 'to', 'bake', 'a', 'cake', 'containing', 'dried', 'fruit', 'and', 'a', 'cake', 'topped', 'with', 'jam.']",
941,i,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[537, 425, 664, 392, 1334, 551, 1374, 584, 478, 626, 673, 744, 824, 496, 521, 695]","['x-x-x', 'spam', 'dollars', 'sign', 'cell', 'west', 'ours', 'role', 'ran', 'peer', 'wards', 'war', 'inch', 'give', 'tell', 'grew.']",0.0-18.0-0.2,29,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1]",,"[537, 425, 664, 392, 544, 551, 496, 584, 478, 626, 673, 744, 824, 496, 521, 695]",The chef started to make the cake with the food mixer but ran out of eggs.,,342315,34,maze,VP,"['The', 'chef', 'started', 'to', 'make', 'the', 'cake', 'with', 'the', 'food', 'mixer', 'but', 'ran', 'out', 'of', 'eggs.']",
941,i,,,,0.0-19.0,,,,,,,343317,35,html-button-response,,,
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[921, 905, 407, 529, 430, 608, 489, 480, 416, 528, 559, 968, 576, 1399, 455, 657, 992, 440, 471]","['x-x-x', 'reactions', 'wind', 'billion', 'ice', 'went', 'causes', 'require', 'came', 'led', 'them', 'grandchild.', 'x-x-x', 'body', 'coast', 'heat', 'brain', 'foot', 'aware.']",0.0-20.0-0.0,31,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",,"[921, 905, 407, 529, 430, 608, 489, 480, 416, 528, 559, 968, 576, 632, 455, 657, 992, 440, 471]",A detective was sitting at a window holding a set of binoculars. He’d been asked to watch a woman.,,355556,36,maze,setup,"['A', 'detective', 'was', 'sitting', 'at', 'a', 'window', 'holding', 'a', 'set', 'of', 'binoculars.', 'He’d', 'been', 'asked', 'to', 'watch', 'a', 'woman.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[475, 433, 719, 407, 399, 762, 416, 511, 416, 617, 663, 504, 1182, 920, 408, 657, 415, 616, 649, 1175]","['x-x-x', 'kept', 'gave', 'slow', 'true', 'million', 'park', 'march', 'bus', 'cell', 'apart', 'factors', 'site', 'insiders', 'wind', 'cost', 'costs', 'airport', 'year', 'honours.']",0.0-20.0-0.1,31,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",,"[475, 433, 719, 407, 399, 762, 416, 511, 416, 617, 663, 504, 383, 920, 408, 657, 415, 616, 649, 1175]",In the room he was looking into there was a woman holding a revolver and a man holding a grenade.,,367908,37,maze,1-context,"['In', 'the', 'room', 'he', 'was', 'looking', 'into', 'there', 'was', 'a', 'woman', 'holding', 'a', 'revolver', 'and', 'a', 'man', 'holding', 'a', 'grenade.']",
941,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[539, 638, 857, 472, 632, 504, 592, 896, 600, 480, 472, 568, 794, 462]","['x-x-x', 'preparing', 'poverty', 'heat', 'meant', 'wood', 'year', 'reelection', 'poor', 'firm', 'size', 'cost', 'wants', 'land.']",0.0-20.0-0.2,31,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",,"[539, 638, 857, 472, 632, 504, 592, 896, 600, 480, 472, 568, 794, 462]",The detective watched the woman with the revolver and then made a phone call.,,376419,38,maze,NP,"['The', 'detective', 'watched', 'the', 'woman', 'with', 'the', 'revolver', 'and', 'then', 'made', 'a', 'phone', 'call.']",
