setup;1_1;A burglar broke into a bank carrying some dynamite. He planned to blow open a safe.;x-x-x batters towns yeah vs info deserves miss nominate. Hold outcome jack wars deal same glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1-context;3_2;Once outside he saw a warden holding a bunch of keys and a policeman holding a long truncheon.;x-x-x reasons kid mid am toxins sources cent aside act euro app mean terminate eastern ago lose isotropic.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;3_2;Once outside he saw a warden holding a bunch of keys and a warden holding a long truncheon.;x-x-x reasons kid mid am toxins sources cent aside act euro app mean terminate eastern ago lose isotropic.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;3_3;The convict suddenly lunged at the warden with the keys before running off.;x-x-x expands upcoming gneiss lake app worded nice know acres senate awesome fund.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;3_3;The convict suddenly lunged at the warden with the knife before running off.;x-x-x expands upcoming gneiss lake app worded nice know acres senate awesome fund.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;4_1;A schoolteacher walked into class carrying a bamboo cane. He sadistically hoped that he would have to beat a boy.;x-x-x interruptions finals fund heard mentally miss uneasy lieu. Wind emplacements carol cent vs sweet anti app wars eat nor.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-context;4_2;On entering he saw that a boy who had a broken leg and a girl who wore glasses didn't stand up for him.;x-x-x deserved guys anti glad rose nor cash cent fund prices sake pre vs sir laws axis tuition chance miles al app plus.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
2-context;4_2;On entering he saw that a boy who had a broken leg and a boy who wore glasses didn't stand up for him.;x-x-x deserved guys anti glad rose nor cash cent fund prices sake pre vs sir laws axis tuition chance miles al app plus.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
NP;4_3;The schoolteacher beat the boy with the broken leg but the boy didn't cry out.;x-x-x redistributed lane wish pray mean yeah exists warn pre fund nor global wars bill.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;4_3;The schoolteacher beat the boy with the bamboo cane but the boy didn't cry out.;x-x-x redistributed lane wish pray mean yeah exists warn pre fund nor global wars bill.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;5_1;John had bought a diamond stylus for his stereo. He planned to play a record.;x-x-x door update miss centers futile guys sir thrive. Kind choices kid gets ask prices.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1-context;5_2;He’d been given a record which had a lot of noisy crackle and a cassette which had a lot of hiss.;x-x-x hall areas vs passes feels hate step app lake renew submits cent lord habitats apply pre al nor hill brig.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2-context;5_2;He’d been given a record which had a lot of noisy crackle and a record which had a lot of hiss.;x-x-x hall areas vs passes feels hate step app lake renew submits cent lord habitats apply pre al nor hill brig.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
NP;5_3;John decided to play the record with the noisy crackle but it sounded terrible.;x-x-x affairs sir anti bill expect hate knew argues preside safe app midwest diseases.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;5_3;John decided to play the record with the diamond stylus but it sounded terrible.;x-x-x affairs sir anti bill expect hate knew argues preside safe app midwest diseases.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;6_1;A historian was working in the British Museum holding a magnifying glass. He’d sat down to study a map.;x-x-x charities luck dollars link dad Appears Starts seconds gets antimatter prior. Navy odds park al miles miss onto.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;6_2;On his desk there was a map which had an appalling tear and a manuscript which seemed in perfect condition.;x-x-x bag bugs sorry jack cent nor wants hate yeah eradicate pets ask app announces teams salary plan happens institute.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;6_2;On his desk there was a map which had an appalling tear and a map which seemed in perfect condition.;x-x-x bag bugs sorry jack cent nor wants hate yeah eradicate pets ask app announces teams salary plan happens institute.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;6_3;The historian had to study the map with the appalling tear so as to value it.;x-x-x propelled dad vs miles mom sir yeah glad stimulates marry sell app walk types jack.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
VP;6_3;The historian had to study the map with the magnifying glass so as to value it.;x-x-x propelled dad vs miles mom sir yeah glad stimulates marry sell app walk types jack.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
setup;7_1;An artist was working at a table holding a long brush. He had a sudden premonition that he was going to knock over a bottle.;x-x-x forgot pre percent al hate shall matters sir goes twins. But miss cent speaks symbolizing lots nor wood rates fund donor yeah app ethics.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1-context;7_2;On the table there was a bottle containing some paint and a small jug filled with water.;x-x-x lord aware weird anti cent aboard girlfriend know marry vote vs rates bop desire loss learn.;1 2 3 4 5 6 7 8 9 10 11 12 13 x 14 15 16
2-context;7_2;On the table there was a bottle containing some paint and a bottle filled with water.;x-x-x lord aware weird anti cent aboard girlfriend know marry vote vs rates desire loss learn.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
NP;7_3;The artist accidently knocked over the bottle with the paint and swore loudly.;x-x-x toward fortresses colonel okay sale belong anti know ought sir verbs fulfil.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;7_3;The artist accidently knocked over the bottle with the brush and swore loudly.;x-x-x toward fortresses colonel okay sale belong anti know ought sir verbs fulfil.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;8_1;A window cleaner was climbing his ladder clutching a cloth. He’d been asked to wipe a window.;x-x-x prices hottest hate infinity sir aliens aggressor vs elect. Pool else river pre buds knew voters.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;8_2;Once up the ladder he saw that there was a window which had a lot of dirt on it and a skylight which was relatively clean.;x-x-x risk jack gladly mind anti cent agree mom knew afford terms hate sir else yeah saga glad vote note vs purged types app industries goals.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
2-context;8_2;Once up the ladder he saw that there was a window which had a lot of dirt on it and a window which was relatively clean.;x-x-x risk jack gladly mind anti cent agree mom knew afford terms hate sir else yeah saga glad vote note vs purged types app industries goals.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
NP;8_3;The window cleaner wiped the window with the dirt while singing to himself.;x-x-x afford innings debts sad belong hate sir sang worry deserve fund percent.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;8_3;The window cleaner wiped the window with the cloth while singing to himself.;x-x-x afford innings debts sad belong hate sir sang worry deserve fund percent.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;9_1;A workman climbed down a manhole carrying a saw. He expected to have to cut through a valve.;x-x-x sorties hobbies kill wish atrophy feedback oh nor. Fund feelings jack lady yeah kid imagine sir ought.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;9_2;Down the manhole he found a valve which had a lot of rust on it and a section of pipe which had been leaking gas.;x-x-x luck confers cool worse jack acids goals whom app says our jays page guys risk pro visits self thru learn hate gift raccoon tour.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 x y 19 20 21 22 23
2-context;9_2;Down the manhole he found a valve which had a lot of rust on it and a valve which had been leaking gas.;x-x-x luck confers cool worse jack acids goals whom app says our jays page guys risk pro visits learn hate gift raccoon tour.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
NP;9_3;The workman cut through the valve with the rust before fitting a new one.;x-x-x buffers mid welcome wish slept glad hate whom expect studios kill him guys.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;9_3;The workman cut through the valve with the saw before fitting a new one.;x-x-x buffers mid welcome wish slept glad hate whom expect studios kill him guys.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;10_1;A man was walking up and down a dark street carrying an iron crowbar. He hoped to break into a shop.;x-x-x guys jack context al soul lord fund laws accept bacteria nor mode benthic. Stay eaten dad knows wish vs whom.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;10_2;He noticed that there was a shop which had a broken window and a post office which was fitted with a burglar alarm.;x-x-x obvious jack shall side cent info apply yeah sir abroad videos hate vs whom myself agree holy clicks hear know inflict sided.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 x 16 17 18 19 20 21 22
2-context;10_2;He noticed that there was a shop which had a broken window and a shop which was fitted with a burglar alarm.;x-x-x obvious jack shall side cent info apply yeah sir abroad videos hate vs whom agree holy clicks hear know inflict sided.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;10_3;The man broke into the shop with the broken window but nobody saw him.;x-x-x seen woods date glad none hate seem helps staunch yeah senate pre term.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;10_3;The man broke into the shop with the iron crowbar but nobody saw him.;x-x-x seen woods date glad none hate seem helps staunch yeah senate pre term.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;11_1;A monkey had been trained to eat using a fork. It was supposed to eat a banana.;x-x-x exceed anti yeah depends bet app agree miss ruin. Fit else memories hair pre gain resign.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;11_2;It was given a banana which had a bruise on it and an apple that was perfect.;x-x-x luck worry dad inning loved hate yeah skiers sir guys fear miss fails anti okay realize.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2-context;11_2;It was given a banana which had a bruise on it and a banana that was perfect.;x-x-x luck worry dad inning loved hate yeah skiers sir guys fear miss fails anti okay realize.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
NP;11_3;The monkey ate the banana with the bruise much to everyone’s surprise.;x-x-x gamers troy plan denies yeah seem evade anti sir midfielder republic.;1 2 3 4 5 6 7 8 9 10 11 12
VP;11_3;The monkey ate the banana with the fork much to everyone’s surprise.;x-x-x gamers troy plan denies yeah seem evade anti sir midfielder republic.;1 2 3 4 5 6 7 8 9 10 11 12
setup;12_1;A caretaker was walking along a corridor carrying some nails. He’d been told to repair a door.;x-x-x outbreaks nice formula agree hate secondly clinical yeah repay. Ride jack park link avenue bet whom.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;12_2;He saw a door which had a large crack in it and a locker which wouldn't shut properly.;x-x-x mid am whom month cent vs knows foods days mom anti app earl terms daughter bush payments.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;12_2;He saw a door which had a large crack in it and a door which wouldn't shut properly.;x-x-x mid am whom month cent vs knows foods days mom anti app earl terms daughter bush payments.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;12_3;The caretaker repaired the door with the crack and then took a tea break.;x-x-x shortages cervical dad whom yeah know tends yes hate laws sir grew worry.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;12_3;The caretaker repaired the door with the nails and then took a tea break.;x-x-x shortages cervical dad whom yeah know tends yes hate laws sir grew worry.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;13_1;A skinhead was walking along a street carrying a large knife. He was planning to attack a policeman.;x-x-x nostrils luck anymore worry guy happen patience miss shall kings. May else bathroom sort nobody gift standings.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;13_2;He eventually saw a policeman who had a large scar on his face and a policewoman wearing spectacles.;x-x-x republican cat okay resembles laws sale app users gays poor shut send buy pro immunities nations polynomial.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;13_2;He eventually saw a policeman who had a large scar on his face and a policeman wearing spectacles.;x-x-x republican cat okay resembles laws sale app users gays poor shut send buy pro immunities nations polynomial.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;13_3;The skinhead suddenly attacked the policeman with the scar and then ran off.;x-x-x budgeted humanity valuable vote subscribe hate cent owns jobs mean app lord.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;13_3;The skinhead suddenly attacked the policeman with the knife and then ran off.;x-x-x budgeted humanity valuable vote subscribe hate cent owns jobs mean app lord.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;14_1;A dressmaker was working on a dress using a pair of scissors. She had to cut some material for the pockets.;x-x-x tolerances hear anymore cent oh likes hands miss fees need infinity. Heat lot jack sad yeah studying god sir applies.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;14_2;She had a piece of material which had a pattern on it and a piece of leather which was plain.;x-x-x sale oh shall guys agencies knows sir dad offense wish glad lord hill taxes yeah realize worst app email.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;14_2;She had a piece of material which had a pattern on it and a piece of material which was plain.;x-x-x sale oh shall guys agencies knows sir dad offense wish glad lord hill taxes yeah realize worst app email.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;14_3;The dressmaker cut the material with the pattern and then went to have lunch.;x-x-x ecologists mid hear remember glad lord explores yeah okay kids wish plus robin.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;14_3;The dressmaker cut the material with the scissors and then went to have lunch.;x-x-x ecologists mid hear remember glad lord explores yeah okay kids wish plus robin.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;15_1;A fireman was running to the scene of a fire carrying a heavy axe. He had to smash down a door.;x-x-x hamlets ones century oh pre cents soul nor upon reliable yeah rates hubs. Game lot jack olive gift glad sake.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;15_2;When he got to the scene of the fire he found a door which had a very rusty lock and a window which was nailed shut.;x-x-x hear glad yeah hour exist anti nor whom non smart grow earn goals tax vs knew wills grew mom fund prices rates app syntax gift.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
2-context;15_2;When he got to the scene of the fire he found a door which had a very rusty lock and a door which was nailed shut.;x-x-x hear glad yeah hour exist anti nor whom non smart grow earn goals tax vs knew wills grew mom fund prices rates app syntax gift.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
NP;15_3;The fireman smashed down the door with the rusty lock but smoke overcame him.;x-x-x oversee missile fund mom glad luck grow tends rely yeah debut dialects sold.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;15_3;The fireman smashed down the door with the heavy axe but smoke overcame him.;x-x-x oversee missile fund mom glad luck grow tends rely yeah debut dialects sold.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;16_1;A little girl borrowed from the kitchen a bread knife. She wanted to cut an orange into pieces.;x-x-x prices laws temporal glad miss seconds yeah input guilt. Four stupid sir pre wish assume hear invite.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;16_2;She found in the fruit bowl an orange which had a very thick rind and a tangerine which had a thin rind.;x-x-x worse hill cent faced dean yeah settle goals hate sir whom files gyms ways guys unravel wants lord van harm skew.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
2-context;16_2;She found in the fruit bowl an orange which had a very thick rind and an orange which had a thin rind.;x-x-x worse hill cent faced dean yeah settle goals hate sir whom files gyms ways guys unravel wants lord van harm skew.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;16_3;The little girl tried to cut the orange with the thick rind but to no success.;x-x-x enough send trump lake app sir expect yeah fund voted juror anti vs than nations.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
VP;16_3;The little girl tried to cut the orange with the bread knife but to no success.;x-x-x enough send trump lake app sir expect yeah fund voted juror anti vs than nations.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
setup;17_1;A chemist was adjusting a bunsen burner. He was about to heat up a solution.;x-x-x agendas holy crossings jack rioted brides. Late dad check rest anti sir same consists.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1-context;17_2;On his bench there was a solution which had blue crystals in it and a powder containing red dye.;x-x-x glad ought worse jack cent diseases queen dad pray massacre mom guys pre lord equity creativity bet pier.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
2-context;17_2;On his bench there was a solution which had blue crystals in it and a solution containing red dye.;x-x-x glad ought worse jack cent diseases queen dad pray massacre mom guys pre lord equity creativity bet pier.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
NP;17_3;The chemist heated the solution with the blue crystals but the gas went out.;x-x-x oversee brakes glad becoming soul mom hath forbid wait guys gone yeah luck.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;17_3;The chemist heated the solution with the bunsen burner but the gas went out.;x-x-x oversee brakes glad becoming soul mom hath forbid wait guys gone yeah luck.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;18_1;A drunk was walking along a street wielding an empty bottle. He felt like smashing a window.;x-x-x loans hear regions agree glad expect funerals cent deals reform. Foot miss trip oversees app decide.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;18_2;In front of him he saw a window made of stained glass and a glass door which had bars covering it.;x-x-x worth hope born jack anti vs afford yeah guys specify aware miss hate decide boys rates vote yoga violence sir.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 x 16 17 18 19 20
2-context;18_2;In front of him he saw a window made of stained glass and a window which had bars covering it.;x-x-x worth hope born jack anti vs afford yeah guys specify aware miss hate decide rates vote yoga violence sir.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;18_3;The drunk smashed the window with the stained glass and staggered off laughing.;x-x-x shown abolish know indeed yeah app evolve helps non federally sir airlines.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;18_3;The drunk smashed the window with the empty bottle and staggered off laughing.;x-x-x shown abolish know indeed yeah app evolve helps non federally sir airlines.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;19_1;A vet went into an animal cage carrying a dart gun. He had to tranquilise a lion.;x-x-x heal jack soul goes method owes priority cent pubs lots. Out else sir merchantmen okay vary.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;19_2;Inside the cage there was a lion that had a big mane and a puma that didn't have any mane at all.;x-x-x kill warn worry dad knew aids guys jobs sale app nuns vote cent mono glad budget laws sell alma bus anti.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
2-context;19_2;Inside the cage there was a lion that had a big mane and a lion that didn't have any mane at all.;x-x-x kill warn worry dad knew aids guys jobs sale app nuns vote cent mono glad budget laws sell alma bus anti.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;19_3;The vet tranquilised the lion with the big mane and then examined it.;x-x-x bred minesweeping loss fled same app sued rely pre yeah caffeine cent.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;19_3;The vet tranquilised the lion with the dart gun and then examined it.;x-x-x bred minesweeping loss fled same app sued rely pre yeah caffeine cent.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;20_1;A tribesman was running through the forest carrying a long spear. He intended to kill a lion.;x-x-x newscasts luck anymore imagine sir taught wondered oh hear halls. Won feelings guy yeah wish aids.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;20_2;On arriving at a clearing he found a lion which had very sharp teeth and a tiger which had strange coloured paws.;x-x-x handbook cent vs resisted hate union bill vary terms mid step codes essay dad app rely ideas mom outcome showcase sunk.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
2-context;20_2;On arriving at a clearing he found a lion which had very sharp teeth and a lion which had strange coloured paws.;x-x-x handbook cent vs resisted hate union bill vary terms mid step codes essay dad app rely ideas mom outcome showcase sunk.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;20_3;The tribesman killed the lion with the sharp teeth and carried it back home.;x-x-x preempted stupid gift rely hear else knew forum jobs billion oh sale name.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;20_3;The tribesman killed the lion with the long spear and carried it back home.;x-x-x preempted stupid gift rely hear else knew forum jobs billion oh sale name.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;21_1;A demolition man was on his way to work in his bulldozer. He’d been told to go to a particular address to demolish a house.;x-x-x capacities luck cool vs yeah none lose cent hate yes abstained. Spin else park link jobs al met enrollment reached pre lowlands sale apply.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1-context;21_2;Once at the address he found a house which had an ornate fountain in its garden and a church covered in fine carvings.;x-x-x dad goes follows glad sweet jack rates agree cent sir relays senators lose knew suffer hate vs happen trouble need miss preclude.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
2-context;21_2;Once at the address he found a house which had an ornate fountain in its garden and a house covered in fine carvings.;x-x-x dad goes follows glad sweet jack rates agree cent sir relays senators lose knew suffer hate vs happen trouble need miss preclude.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
NP;21_3;The man demolished the house with the fountain but it wasn't the right one.;x-x-x seen insurgents draw worry miss yeah undertook sir vs mobile fund shall glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;21_3;The man demolished the house with the bulldozer but it wasn't the right one.;x-x-x seen insurgents draw worry miss yeah undertook sir vs mobile fund shall glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;22_1;A furniture restorer was getting out some paint stripper. He’d been asked to strip a cabinet.;x-x-x occasions littoral glad anymore hear vote mayor diaspora. Rain jack river link spine met arsenal.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1-context;22_2;In his workshop there was a cabinet which had brass hinges and a chest which had aluminium hinges.;x-x-x lose destined super okay jack amounts mouth nice penis embryo bus sir visited worry luck therapist malice.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;22_2;In his workshop there was a cabinet which had brass hinges and a cabinet which had aluminium hinges.;x-x-x lose destined super okay jack amounts mouth nice penis embryo bus sir visited worry luck therapist malice.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;22_3;The restorer stripped the cabinet with the brass hinges and then waxed it.;x-x-x unionism eyebrows yes discuss miss ago grows migrate glad mean epoch yeah.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;22_3;The restorer stripped the cabinet with the paint stripper and then waxed it.;x-x-x unionism eyebrows yes discuss miss ago grows migrate glad mean epoch yeah.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;23_1;A doctor walked into a waiting room carrying a stethoscope. He’d arranged to examine a woman patient.;x-x-x prices racism fund cent reasons rise memories yeah enrollments. Pipe gameplay jack coupled glad rates revenue.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;23_2;In the waiting room there was a woman who had a temperature and a man who seemed to have stomach pains.;x-x-x glad anymore born weird pop cent lives pre mid vs researchers boys app owner laws budget sale anti android guild.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2-context;23_2;In the waiting room there was a woman who had a temperature and a woman who seemed to have stomach pains.;x-x-x glad anymore born weird pop cent lives pre mid vs researchers boys app owner laws budget sale anti android guild.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
NP;23_3;The doctor examined the woman with the temperature but couldn't help her.;x-x-x toward carnival sir shall hate app metamorphic pre republic hill sale.;1 2 3 4 5 6 7 8 9 10 11 12
VP;23_3;The doctor examined the woman with the stethoscope but couldn't help her.;x-x-x toward carnival sir shall hate app metamorphic pre republic hill sale.;1 2 3 4 5 6 7 8 9 10 11 12
setup;24_1;A secretary was sitting at her desk on which was a manual typewriter. She was told to type up a report.;x-x-x decisions pre depends app grow earn laws worse gain yeah trends complicate. Same else cent mind anti wish miss expect.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;24_2;She was handed a report covered in diagrams and a letter written in different colours.;x-x-x mid thesis lie except eastern beat persists lord yeah unless schools keep wonderful quietly.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2-context;24_2;She was handed a report covered in diagrams and a report written in different colours.;x-x-x mid thesis lie except eastern beat persists lord yeah unless schools keep wonderful quietly.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
NP;24_3;The secretary typed up the report with the diagrams and then went to lunch.;x-x-x recommend bison sir eat happen luck grow worshipped hate yeah hill plan teeth.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;24_3;The secretary typed up the report with the typewriter and then went to lunch.;x-x-x recommend bison sir eat happen luck grow worshipped hate yeah hill plan teeth.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
